lumeter_customer_ext_key,lumeter_system_ext_key,paygee_customer_ext_key,paygee_system_ext_key
283,10577,1765,10130
11431,28945,,
6409,29557,3337,11997
1968,42235,2267,10765
2670,42266,2463,10987
1239,42318,2060,10508
3621,42355,2729,11294
1711,42397,2165,10637
286,42410,1027,10134
3066,42521,,
2805,42596,,
787,42604,1924,10344
285,42616,1767,10133
4809,42632,3002,11603
962,42647,1970,10395
287,42663,1768,10135
284,42671,1766,10132
278,42680,1763,10128
722,42699,1904,10317
280,42702,1764,10129
270,42785,1762,10121
5776,42840,3189,11825
3212,42886,2638,11190
770,42894,1919,10336
1762,43006,2194,10673
1032,43539,,
885,43552,1948,10369
7360,43567,3526,12223
366,43573,1782,10156
777,43586,1921,10339
750,43629,1914,10329
35515,43636,13533,23759
803,43648,1925,10345
6515,43651,3365,12027
571,43727,1868,10265
664,43744,1888,10292
678,43750,1892,10299
352,43762,1779,10152
402,43793,1793,10170
446,43816,1814,10195
767,43847,1918,10334
741,43858,1912,10326
636,43863,1879,10282
493,43871,1834,10223
875,43899,1942,10362
473,43922,1825,10213
471,43941,1617,10212
808,43956,1928,10348
1039,43968,1995,10434
914,43984,1958,10379
762,44036,1916,10332
3165,44051,2618,11168
404,44064,1795,10172
1214,44077,,
4136,44085,,
817,44090,1931,10351
490,44115,1833,10222
477,44127,1827,10215
3926,44138,27791,39825
464,44144,1822,10203
462,44162,1821,10202
2804,44181,,
557,44218,1862,10259
515,44223,1841,10232
410,44261,27775,39808
1041,44270,1997,10436
366,44282,1782,10157
692,44304,1898,10308
2674,44316,2466,10991
830,44332,1936,10356
31914,44347,11906,21854
7021,44363,3007,12127
917,44371,1959,10381
476,44380,1826,10214
1936,44405,,
32386,44411,,
935,44428,1964,10388
725,44439,1906,10319
378,44440,1785,10160
1022,44486,1986,10424
461,44494,1820,10201
612,44500,,
874,44517,1941,10361
669,44531,1890,10294
720,44546,1902,10315
613,44553,1876,10276
2803,44592,,
761,44601,1134,10331
527,44619,1850,10245
466,44620,1824,10205
520,44635,1845,10237
556,44642,1861,10258
965,44698,1199,10396
828,44721,1935,10355
628,44810,1878,10281
465,44822,1823,10204
1003,44837,1978,10416
442,44841,1811,10190
452,44879,1815,10196
7171,44943,1817,12163
922,44975,11,10382
518,44991,1843,10235
337,45020,1776,10147
872,45035,1939,10359
34516,45042,,
1033,45057,1991,10429
615,45074,1877,10277
430,45083,1805,10183
489,45098,1832,10221
440,45112,1809,10187
616,45126,1215,10278
582,45143,1871,10268
2647,45154,2451,10975
500,45169,1190,10226
357,45175,1780,10153
480,45191,1828,10216
961,45202,1969,10394
